"DeviceId","DeviceName","OsPlatform","IsCompliant"
"9C41F2A9D39FEC7B4B362C4B00E0469ABA0EF976","WORKSTATION-SEC991","Windows","Yes"
"892CB49D594CD022A67AED0F82C5FDB48B54F854","LAPTOP-LAB206","Windows","Yes"
"D4F9CCAA32E54D4422F5EE718ED45E79B29CF386","VM-DEV-706","Windows","Yes"
"1F62B7B6DB27C52350FA0F6035D72F158AFC9DD5","WORKSTATION-PROD373","Windows","Yes"
"A9834C7C38EAE2C6CCC505088B831712E15FA9D5","NODE-DB892","Windows","No"
"165750B8382F22223ABBE229E0B598D696919938","NODE-DB184","Windows","Yes"
"4C23B298824E7B321AA7BF0A00144ED3386E5FD7","WORKSTATION-DEV770","Windows","Yes"
"A71B1BECE30AD44CB8703569BEC2D26A52C9A667","VM-ABC-435","Windows","Yes"
"1365944AE0EC5CD1C5CE682DC43E4E01456FA897","VM-WORKLOAD-582","Windows","No"
"064E4B7849DABC37307BBDEA0383498F0EFA8941","LAPTOP-DB854","Windows","Yes"
"26D4BD75620F7AE45CD4C5E5FD3AD54CED92EC91","DESKTOP-SEC455","Windows","Yes"
"62622BC34CDA956D4C86570AC110BCE1A6B81EFE","WORKSTATION-DB433","Windows","No"
"658F251181EC994D9B791C38902914B1EF58CE11","DESKTOP-DEV514","Windows","Yes"
"196728E47C158F8F33B6EC7781AFBE9B960C8A8D","NODE-DB905","Windows","Yes"
"B8251C41241D3AE41CD84BAD1C1D3CE6E53CD9B7","NODE-WORKLOAD707","Windows","No"
"D9AAEA5974039AC73DA93B60C2B376ED81E77F82","LAPTOP-ABC249","Windows","Yes"
"DD1C0D709713CCB30C23A5E0BE241FE444EDC183","LAPTOP-WORKLOAD502","Windows","Yes"
"08EB2F99008A76A9350F1CA912FE486A459C49C0","NODE-DB451","Windows","Yes"
"CCA5F58EF16E747720162C5D76C5FC18A6A0356D","WORKSTATION-ABC917","Windows","Yes"
"76AE299BECFD2EE3469F3A45BD77C288AFCB9443","LAPTOP-ABC168","Windows","No"
"969D32B7B043811775DCC65E3AD699DC821E165F","DESKTOP-PROD809","Windows","Yes"
"D2C7821F1416D86BE9F373F08551D3E538C86634","WORKSTATION-DEV241","Windows","Yes"
"051A418D90F76E6DCB5EC12702CA813EC0625A74","DESKTOP-DB272","Windows","Yes"
"AFA426416BEB3CD197CB29BD653D26CB60A9F568","LAPTOP-DB243","Windows","No"
"B1C691989A86932C0439EF91ECCFC940A4A919FB","NODE-DB942","Windows","Yes"
